vin,target_id,first_seen_at,last_seen_at,year,make,model,trim,listing_id,listing_url
1FTEW1EP0PKE73329,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2023,Ford,F-150,XLT 302A Crew Cab Short Bed,104836,https://www.clutch.ca/vehicles/104836
1FTEW1EP2MFB72646,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2021,Ford,F-150,LARIAT 502A Crew Cab Short Bed,95745,https://www.clutch.ca/vehicles/95745
1FTEW1EP4PKE25977,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed,103821,https://www.clutch.ca/vehicles/103821
1FTEW1EP6NFA33444,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed,98122,https://www.clutch.ca/vehicles/98122
1FTEW1EPXPKD47088,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2023,Ford,F-150,XLT 302A Crew Cab Short Bed,102032,https://www.clutch.ca/vehicles/102032
1FTEW2LP7RKE96537,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2024,Ford,F-150,STX 200A Crew Cab Short Bed,106923,https://www.clutch.ca/vehicles/106923
1FTEW3LP1RKF39209,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2024,Ford,F-150,XLT 302A Crew Cab Short Bed,105262,https://www.clutch.ca/vehicles/105262
1FTEW3LP4SKD88226,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2025,Ford,F-150,XLT 302A Crew Cab Short Bed,101717,https://www.clutch.ca/vehicles/101717
1FTFW1E82MKD27541,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2021,Ford,F-150,XLT 302A Crew Cab Short Bed,107800,https://www.clutch.ca/vehicles/107800
1FTFW1E85NFA75004,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2022,Ford,F-150,XLT 301A Crew Cab Standard Bed,104121,https://www.clutch.ca/vehicles/104121
1FTFW1E86NKD91289,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed,101542,https://www.clutch.ca/vehicles/101542
1FTFW1ED3PFB50802,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed,105109,https://www.clutch.ca/vehicles/105109
1FTFW1ED6PFA97626,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2023,Ford,F-150,XLT 302A Crew Cab Short Bed,106118,https://www.clutch.ca/vehicles/106118
1FTFW1ED7NFB35619,ford-f150-ontario,2026-06-16T00:25:27-04:00,2026-06-16T00:25:27-04:00,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed,104904,https://www.clutch.ca/vehicles/104904
